Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
2.093,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.137,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.182,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.229,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.273,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.318,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.362,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.406,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.453,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.500,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
2.546,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
